,latitude,longitude,station id,station name,nhood id
133,40.72917025,-73.99810231,161,LaGuardia Pl & W 3 St,4
134,40.71893904,-73.99266288,531,Forsyth St & Broome St,1
135,40.68415748,-73.96922273,397,Fulton St & Clermont Ave,12
136,40.78414472,-73.98362492,3178,Riverside Dr & W 78 St,7
137,40.71427487,-73.98990025,307,Canal St & Rutgers St,2
138,40.74232744,-73.95411749,3119,Vernon Blvd & 50 Ave,9
139,40.72229346,-73.99147535,265,Stanton St & Chrystie St,1
140,40.7505853470215,-73.9946848154068,3255,8 Ave & W 31 St,8
141,40.7568001,-73.98291153,493,W 45 St & 6 Ave,11
142,40.696191999999996,-73.991218,322,Clinton St & Tillary St,2
143,40.70823502,-74.00530063,306,Cliff St & Fulton St,3
144,40.75828065,-73.97069431,367,E 53 St & Lexington Ave,9
145,40.71413311,-73.95234386,3087,Metropolitan Ave & Meeker Ave,10
146,40.73652889,-74.00618026,346,Bank St & Hudson St,4
147,40.70691254,-73.95441667,3073,Division Ave & Hooper St,1
148,40.76370739,-73.9851615,447,8 Ave & W 52 St,5
149,40.761227399999996,-73.96094022,3142,1 Ave & E 62 St,9
150,40.70834698,-74.01713445,363,West Thames St,3
151,40.76590936,-73.97634151,2006,Central Park S & 6 Ave,7
152,40.73314259,-73.97573881,487,E 20 St & FDR Drive,10
153,40.72217444,-73.98368779,301,E 2 St & Avenue B,10
154,40.71286844,-73.95698119,471,Grand St & Havemeyer St,10
155,40.68515959989177,-73.97711366415024,3222,Hanson Pl & St Felix St,2
156,40.77573034,-73.9567526,3146,E 81 St & 3 Ave,6
157,40.7284186,-73.98713956,236,St Marks Pl & 2 Ave,10
158,40.73935542,-73.99931783,482,W 15 St & 7 Ave,4
159,40.7454973,-74.00197139,509,9 Ave & W 22 St,4
160,40.71167351,-73.95141312,3082,Hope St & Union Ave,10
161,40.71413089,-73.99704679999998,296,Division St & Bowery,2
162,40.72467721,-73.98783413,428,E 3 St & 1 Ave,10
163,40.70411791,-73.94818595,3069,Lorimer St & Broadway,12
164,40.72580614,-73.97422494,339,Avenue D & E 12 St,10
165,40.71348658,-73.94792458,3084,Devoe St & Leonard St,10
166,40.734232,-73.986923,297,E 15 St & 3 Ave,10
167,40.7190095,-73.95852515,3092,Berry St & N 8 St,10
168,40.74394314,-73.97966069,476,E 31 St & 3 Ave,11
169,40.71494807,-74.00234482,386,Centre St & Worth St,3
170,40.71117444,-73.99682619,2009,Catherine St & Monroe St,2
171,40.749156,-73.9916,379,W 31 St & 7 Ave,8
172,40.73535398,-74.00483091,247,Perry St & Bleecker St,4
173,40.72153267,-73.95782357,3103,N 11 St & Wythe Ave,10
174,40.711512,-74.01575600000002,3002,South End Ave & Liberty St,3
175,40.76340613,-73.97722479,352,W 56 St & 6 Ave,11
176,40.74395411,-73.99144871,466,W 25 St & 6 Ave,8
177,40.69512845,-73.99595065,406,Hicks St & Montague St,2
178,40.70463334,-74.01361706,304,Broadway & Battery Pl,3
179,40.72317958,-73.99480012,251,Mott St & Prince St,1
180,40.717571,-74.005549,320,Leonard St & Church St,3
181,40.76227205,-73.98788205,450,W 49 St & 8 Ave,5
182,40.68833370000001,-73.950916,3055,Greene Ave & Nostrand Ave,12
183,40.73971301,-73.99456405,168,W 18 St & 6 Ave,4
184,40.717318403855785,-73.9482021331787,3089,Leonard St & Meeker Ave,10
185,40.707873,-74.00166999999998,279,Peck Slip & Front St,2
186,40.74765947,-73.98490707,526,E 33 St & 5 Ave,8
187,40.68676793,-73.95928168,120,Lexington Ave & Classon Ave,12
188,40.72179134,-73.95041540000003,3102,Driggs Ave & Lorimer St,10
189,40.77748046,-73.98288594,3175,W 70 St & Amsterdam Ave,7
190,40.74334935,-74.00681753,212,W 16 St & The High Line,4
191,40.73649403,-73.99704374,345,W 13 St & 6 Ave,4
192,40.72453734,-73.98185424,317,E 6 St & Avenue B,10
193,40.73291553,-74.00711384,358,Christopher St & Greenwich St,4
194,40.7014851,-73.98656928,430,York St & Jay St,2
195,40.72036775298455,-73.96165072917937,3016,Kent Ave & N 7 St,10
196,40.73331967,-73.99510132,280,E 10 St & 5 Ave,4
197,40.72311651,-73.95212324,3107,Bedford Ave & Nassau Ave,10
198,40.74345335,-74.00004031,470,W 20 St & 8 Ave,4
199,40.735640000000004,-73.95866,3117,Franklin St & Dupont St,10
200,40.72606,-73.95621,3109,Banker St & Meserole Ave,10
201,40.6809833854,-73.9500479759,437,Macon St & Nostrand Ave,12
